,short_sentence_index
0,65
1,110
2,112
3,119
4,65
5,766
6,119
7,1258
8,1396
9,1398
10,1477
11,1581
12,1581
13,110
14,1739
15,1581
16,1477
17,119
18,119
19,65
20,119
21,1396
22,1477
23,766
24,112
25,1581
26,766
27,766
28,2360
29,1581
30,112
31,119
32,65
33,1258
34,119
35,1258
36,1258
37,1477
38,1396
39,3256
40,766
41,119
42,119
43,1258
44,65
45,3831
46,3969
47,1477
48,65
49,3969
50,1477
51,65
52,65
53,112
54,3256
55,3256
56,1581
57,3256
58,65
59,1477
60,766
61,3256
62,766
63,2360
64,1581
65,3831
66,6566
67,3831
68,112
69,119
70,65
71,119
72,7354
73,1258
74,3256
75,119
76,1258
77,1739
78,1477
79,112
80,1581
81,766
82,766
83,766
84,1477
85,3256
86,1477
87,3256
88,766
89,3256
90,112
91,112
92,10226
93,1477
94,1477
95,1477
96,1581
97,65
98,2360
99,1477
100,1477
101,1477
102,1477
103,1477
104,1477
105,1477
106,1477
107,1477
108,112
109,3969
110,1477
111,1477
112,3969
113,2360
114,119
115,3256
116,3969
117,1477
118,1477
119,766
120,3969
121,1477
122,65
123,766
124,112
125,3969
126,1739
127,1477
128,1258
129,766
130,65
131,766
132,65
133,112
134,1258
135,10226
136,1258
137,2360
138,766
139,1581
140,65
141,766
142,110
143,119
144,3256
145,1581
146,1739
147,1739
148,1739
149,65
150,1477
151,119
152,119
153,1258
154,3256
155,1477
156,1477
157,1477
158,1477
159,1477
160,65
161,3256
162,1477
163,1477
164,1477
165,1581
166,1258
167,1396
168,766
169,1739
170,766
171,3256
172,766
173,1739
174,1477
175,119
176,1477
177,1477
178,1477
179,1477
180,1477
181,112
182,3831
183,766
184,112
185,3256
186,112
187,766
188,2360
189,3256
190,1258
191,3256
192,65
193,766
194,3256
195,766
196,766
197,65
198,112
199,1581
200,1477
201,1477
202,2360
203,3256
204,65
205,766
206,65
207,766
208,1739
209,3831
210,1477
211,119
212,1396
213,1581
214,1396
215,1396
216,1258
217,2360
218,1477
219,3969
220,766
221,2360
222,766
223,112
224,3256
225,112
226,1477
227,1477
228,1581
229,1477
230,766
231,1581
232,1739
233,1477
234,1581
235,3256
236,112
237,1581
238,1477
239,3256
240,1477
241,766
242,112
243,1581
244,1477
245,1477
246,1477
247,1477
248,1477
249,119
250,766
251,119
252,1258
253,3256
254,2360
255,3831
256,1477
257,1477
258,119
259,3256
260,65
261,1581
262,766
263,766
264,119
265,1581
266,65
267,1258
268,1739
269,65
270,2360
271,65
272,110
273,3256
274,1477
275,766
276,1477
277,3969
278,119
279,119
280,3969
281,766
282,1581
283,1258
284,1477
285,3969
286,65
287,3256
288,3969
289,1581
290,2360
291,119
292,1258
293,65
294,1258
295,766
296,1581
297,1477
298,119
299,112
300,65
301,1581
302,119
303,1477
304,1477
305,110
306,65
307,1258
308,1581
309,65
310,1258
311,766
312,112
313,766
314,65
315,1581
316,3256
317,10226
318,112
319,1258
320,65
321,3256
322,112
323,766
324,1581
325,3256
326,1396
327,65
328,1396
329,65
330,112
331,1258
332,10226
333,3256
334,65
335,766
336,1581
337,3256
338,65
339,65
340,1396
341,10226
342,1258
343,2360
344,1398
345,3969
346,1477
347,1477
348,3256
349,766
350,1581
351,1477
352,1477
353,10226
354,1258
355,6566
356,1581
357,65
358,766
359,3969
360,65
361,3256
362,3969
363,1739
364,1396
365,1739
366,1477
367,1581
368,1477
369,1258
370,119
371,1258
372,1581
373,2360
374,112
375,766
376,1581
377,10226
378,119
379,6566
380,3256
381,1739
382,3256
383,3969
384,65
385,766
386,3969
387,110
388,1396
389,3256
390,1739
391,3969
392,766
393,42443
394,2360
395,766
396,1739
397,65
398,112
399,1581
400,1258
401,112
402,112
403,119
404,766
405,1581
406,3256
407,1581
408,3256
409,3256
410,65
411,1581
412,1581
413,119
414,65
415,2360
416,1581
417,3256
418,119
419,1739
420,65
421,3256
422,1581
423,119
424,3256
425,3256
426,3256
427,3256
428,1258
429,1581
430,1258
431,1258
432,766
433,2360
434,112
435,766
436,3969
437,10226
438,65
439,65
440,1581
441,1258
442,65
443,1258
444,119
445,10226
446,766
447,112
448,119
449,1477
450,1258
451,766
452,1477
453,1581
454,112
455,766
456,1581
457,1581
458,3831
459,1258
460,1581
461,65
462,1581
463,119
464,10226
465,1739
466,2360
467,6566
468,1477
469,112
470,1477
471,119
472,1396
473,1739
474,766
475,119
476,1258
477,766
478,2360
479,1477
480,1581
481,1581
482,1477
483,766
484,112
485,766
486,1739
487,112
488,3256
489,1581
490,766
491,112
492,65
493,3969
494,2360
495,3256
496,65
497,766
498,119
499,1581
500,3256
501,1581
502,1581
503,1581
504,3256
505,65
506,112
507,766
508,1739
509,10226
510,3256
511,3969
512,766
513,1581
514,10226
515,1396
516,1258
517,766
518,1477
519,1477
520,3256
521,1581
522,65
523,2360
524,112
525,119
526,65
527,1739
528,3256
529,65
530,10226
531,119
532,1258
533,1258
534,1258
535,112
536,1581
537,766
538,119
539,3256
