,short_sentence_index
0,0
1,65
2,100
3,110
4,112
5,119
6,222
7,259
8,566
9,701
10,744
11,747
12,762
13,764
14,768
15,776
16,777
17,1230
18,1260
19,1312
20,1316
21,1328
22,1342
23,1398
24,1400
25,1559
26,1582
27,1652
28,1705
29,1740
30,1757
31,1800
32,1856
33,1890
34,1927
35,1944
36,1966
37,2029
38,2069
39,2070
40,2074
41,2087
42,2113
43,2176
44,2185
45,2189
46,2193
47,2196
48,2314
49,2339
50,2361
51,2370
52,2379
53,2464
54,2513
55,2515
56,2571
57,2573
58,2645
59,2688
60,2757
61,2758
62,2811
63,2827
64,2849
65,2982
66,3065
67,3069
68,3249
69,3253
70,3266
71,3270
72,3409
73,3541
74,3551
75,3591
76,3599
77,3726
78,3755
79,3845
80,3849
81,3966
82,3979
83,3984
84,4059
85,4096
86,4362
87,4365
88,4522
89,4552
90,4562
91,4564
92,4573
93,4618
94,4646
95,4676
96,4734
97,4746
98,4790
99,4849
100,4862
101,4925
102,5028
103,5060
104,5083
105,5086
106,5099
107,5172
108,5176
109,5185
110,5194
111,5200
112,5204
113,5210
114,5252
115,5258
116,5382
117,5388
118,5400
119,5430
120,5446
121,5484
122,5555
123,5558
124,5559
125,5707
126,5728
127,5730
128,5740
129,5822
130,5975
131,6008
132,6055
133,6243
134,6247
135,6338
136,6342
137,6368
138,6427
139,6449
140,6492
141,6586
142,6626
143,6627
144,6657
145,6685
146,6813
147,6814
148,6947
149,7119
150,7133
151,7135
152,7192
153,7222
154,7238
155,7261
156,7275
157,7276
158,7353
159,7374
160,7384
161,7387
162,7395
163,7422
164,7425
165,7480
166,7494
167,7584
168,7610
169,7643
170,7649
171,7814
172,7816
173,7826
174,7830
175,7834
176,7845
177,7873
178,7941
179,8144
180,8225
181,8226
182,8323
183,8333
184,8340
185,8445
186,8499
187,8623
188,8738
189,8741
190,8761
191,8786
192,8917
193,9004
194,9055
195,9213
196,9299
197,9419
198,9422
199,9550
200,9599
201,9669
202,10166
203,10177
204,10245
205,10345
206,10373
207,10471
208,10495
209,10520
210,10536
211,10615
212,10773
213,10958
214,11015
215,11090
216,11115
217,11188
218,11216
219,11408
220,11639
221,11644
222,11676
223,11873
224,11963
225,11993
226,11994
227,12076
228,12111
229,12124
230,12382
231,12387
232,12413
233,12443
234,12575
235,12597
236,12765
237,12783
238,12853
239,12866
240,12908
241,12920
242,12928
243,12937
244,12943
245,12946
246,12965
247,13029
248,13033
249,13050
250,13061
251,13123
252,13149
253,13322
254,13346
255,13391
256,13400
257,13474
258,13540
259,13544
260,13545
261,13622
262,13717
263,13766
264,13795
265,14010
266,14059
267,14117
268,14152
269,14154
270,14329
271,14464
272,14524
273,14580
274,14604
275,14639
276,14685
277,14767
278,14776
279,14975
280,15009
281,15013
282,15019
283,15035
284,15036
285,15037
286,15049
287,15090
288,15164
289,15165
290,15190
291,15224
292,15536
293,15617
294,15651
295,15667
296,15684
297,15688
298,15710
299,15834
300,15900
301,16014
302,16135
303,16167
304,16298
305,16300
306,16415
307,16428
308,16446
309,16492
310,16502
311,16556
312,16558
313,16576
314,16581
315,16583
316,16677
317,16679
318,16718
319,16771
320,16887
321,16897
322,17034
323,17047
324,17084
325,17139
326,17151
327,17158
328,17161
329,17222
330,17226
331,17249
332,17263
333,17283
334,17616
335,17619
336,17650
337,17652
338,17674
339,17702
340,17703
341,17913
342,17980
343,18018
344,18060
345,18117
346,18132
347,18265
348,18271
349,18280
350,18318
351,18367
352,18477
353,18549
354,18748
355,18759
356,18763
357,18777
358,18827
359,18849
360,18901
361,18906
362,18960
363,19035
364,19298
365,19559
366,19591
367,19642
368,19643
369,19745
370,19809
371,19942
372,19961
373,19966
374,19974
375,20028
376,20103
377,20153
378,20195
379,20221
380,20229
381,20340
382,20359
383,20428
384,20486
385,20636
386,20680
387,20703
388,20731
389,20736
390,20749
391,20915
392,20959
393,21091
394,21099
395,21122
396,21154
397,21210
398,21237
399,21251
400,21253
401,21255
402,21265
403,21366
404,21375
405,21395
406,21497
407,21587
408,21774
409,21784
410,21790
411,21792
412,21814
413,21818
414,21831
415,21841
416,21851
417,21996
418,21997
419,22030
420,22158
421,22171
422,22194
423,22255
424,22256
425,22273
426,22391
427,22620
428,22628
429,22721
430,22771
431,22875
432,22937
433,23068
434,23095
435,23099
436,23128
437,23373
438,23391
439,23447
440,23453
441,23501
442,23772
443,23778
444,24118
445,24178
446,24357
447,24391
448,24394
449,24529
450,24544
451,24593
452,24618
453,24635
454,24637
455,24718
456,24722
457,24724
458,24734
459,24736
460,24847
461,24854
462,24868
463,25102
464,25221
465,25241
466,25322
467,25411
468,25440
469,25505
470,25511
471,25594
472,25624
473,25683
474,25709
475,25748
476,25749
477,25819
478,25835
479,25845
480,25875
481,25895
482,25909
483,25910
484,26070
485,26086
486,26100
487,26108
488,26180
489,26199
490,26415
491,26545
492,26548
493,26621
494,26631
495,26949
496,26966
497,27155
498,27170
499,27178
500,27300
501,27301
502,27311
503,27379
504,27666
505,27783
506,27784
507,27857
508,27876
509,27974
510,27982
511,28012
512,28023
513,28050
514,28119
515,28373
516,28377
517,28455
518,28456
519,28463
520,28472
521,28561
522,28598
523,28661
524,28691
525,28694
526,28868
527,28900
528,28928
529,29110
530,29165
531,29204
532,29219
533,29247
534,29255
535,29341
