,short_sentence_index
0,0
1,27
2,62
3,65
4,68
5,84
6,100
7,105
8,110
9,112
10,115
11,117
12,119
13,127
14,147
15,161
16,170
17,176
18,191
19,222
20,223
21,259
22,343
23,373
24,411
25,460
26,473
27,518
28,566
29,582
30,668
31,678
32,685
33,688
34,701
35,710
36,718
37,733
38,743
39,744
40,747
41,759
42,762
43,763
44,764
45,768
46,773
47,776
48,777
49,792
50,908
51,923
52,937
53,1148
54,1153
55,1210
56,1213
57,1221
58,1230
59,1260
60,1261
61,1312
62,1316
63,1328
64,1342
65,1345
66,1352
67,1366
68,1395
69,1398
70,1399
71,1400
72,1405
73,1435
74,1442
75,1456
76,1504
77,1559
78,1560
79,1565
80,1582
81,1603
82,1610
83,1613
84,1614
85,1646
86,1652
87,1704
88,1705
89,1723
90,1729
91,1740
92,1745
93,1773
94,1814
95,1854
96,1888
97,1907
98,1925
99,1942
100,1958
101,1959
102,1964
103,1984
104,2027
105,2028
106,2030
107,2067
108,2068
109,2072
110,2085
111,2100
112,2111
113,2120
114,2122
115,2126
116,2137
117,2174
118,2183
119,2187
120,2191
121,2192
122,2194
123,2284
124,2311
125,2312
126,2319
127,2325
128,2337
129,2348
130,2359
131,2364
132,2367
133,2368
134,2377
135,2410
136,2462
137,2463
138,2492
139,2498
140,2511
141,2513
142,2517
143,2555
144,2569
145,2570
146,2571
147,2599
148,2636
149,2643
150,2681
151,2684
152,2686
153,2728
154,2755
155,2756
156,2792
157,2800
158,2809
159,2810
160,2825
161,2830
162,2840
163,2841
164,2847
165,2850
166,2852
167,2872
168,2893
169,2944
170,2976
171,2977
172,3039
173,3059
174,3063
175,3088
176,3102
177,3234
178,3237
179,3250
180,3252
181,3254
182,3258
183,3304
184,3306
185,3332
186,3393
187,3436
188,3507
189,3525
190,3535
191,3541
192,3543
193,3575
194,3583
195,3687
196,3710
197,3712
198,3724
199,3725
200,3736
201,3739
202,3760
203,3774
204,3782
205,3829
206,3833
207,3869
208,3950
209,3963
210,3967
211,4013
212,4020
213,4040
214,4042
215,4047
216,4079
217,4082
218,4150
219,4168
220,4180
221,4345
222,4348
223,4358
224,4427
225,4505
226,4535
227,4536
228,4545
229,4547
230,4555
231,4600
232,4626
233,4700
234,4819
235,4826
236,4839
237,4902
238,4930
239,5005
240,5017
241,5037
242,5044
243,5060
244,5063
245,5074
246,5076
247,5101
248,5113
249,5120
250,5152
251,5161
252,5170
253,5176
254,5180
255,5184
256,5186
257,5228
258,5234
259,5271
260,5298
261,5334
262,5350
263,5358
264,5364
265,5367
266,5369
267,5372
268,5376
269,5406
270,5422
271,5426
272,5427
273,5438
274,5440
275,5457
276,5460
277,5461
278,5462
279,5472
280,5474
281,5476
282,5478
283,5479
284,5497
285,5509
286,5531
287,5532
288,5534
289,5535
290,5540
291,5541
292,5544
293,5593
294,5639
295,5642
296,5644
297,5672
298,5683
299,5689
300,5697
301,5701
302,5704
303,5706
304,5716
305,5798
306,5803
307,5811
308,5909
309,5950
310,5969
311,5973
312,5983
313,5990
314,6030
315,6031
316,6141
317,6152
318,6157
319,6218
320,6221
321,6222
322,6241
323,6292
324,6300
325,6309
326,6311
327,6313
328,6317
329,6343
330,6348
331,6402
332,6416
333,6424
334,6433
335,6467
336,6470
337,6480
338,6561
339,6575
340,6586
341,6601
342,6602
343,6632
344,6636
345,6660
346,6681
347,6686
348,6688
349,6707
350,6726
351,6728
352,6749
353,6788
354,6805
355,6835
356,6870
357,6876
358,6892
359,6904
360,6921
361,6994
362,6997
363,7089
364,7093
365,7102
366,7107
367,7109
368,7110
369,7166
370,7196
371,7212
372,7235
373,7249
374,7250
375,7272
376,7273
377,7284
378,7319
379,7325
380,7326
381,7338
382,7347
383,7357
384,7360
385,7368
386,7369
387,7395
388,7398
389,7405
390,7453
391,7467
392,7475
393,7489
394,7496
395,7505
396,7521
397,7540
398,7557
399,7570
400,7580
401,7583
402,7616
403,7622
404,7636
405,7675
406,7681
407,7702
408,7786
409,7787
410,7798
411,7802
412,7806
413,7817
414,7845
415,7888
416,7889
417,7913
418,7918
419,7919
420,8116
421,8169
422,8195
423,8197
424,8198
425,8234
426,8295
427,8305
428,8312
429,8384
430,8417
431,8426
432,8441
433,8469
434,8471
435,8513
436,8578
437,8595
438,8610
439,8628
440,8710
441,8712
442,8717
443,8721
444,8732
445,8744
446,8750
447,8757
448,8888
449,8975
450,8980
451,9026
452,9172
453,9173
454,9184
455,9186
456,9197
457,9270
458,9307
459,9323
460,9352
461,9390
462,9393
463,9413
464,9505
465,9520
466,9521
467,9525
468,9528
469,9558
470,9570
471,9578
472,9626
473,9638
474,9640
475,9675
476,9696
477,9765
478,9824
479,9847
480,9898
481,10135
482,10136
483,10147
484,10161
485,10178
486,10187
487,10215
488,10231
489,10234
490,10315
491,10343
492,10365
493,10409
494,10441
495,10465
496,10467
497,10490
498,10502
499,10506
500,10582
501,10585
502,10592
503,10651
504,10688
505,10704
506,10720
507,10726
508,10742
509,10781
510,10782
511,10906
512,10909
513,10922
514,10976
515,10981
516,10991
517,11018
518,11021
519,11022
