,short_sentence_index
0,0
1,5
2,6
3,7
4,12
5,7
6,25
7,28
8,39
9,44
10,46
11,52
12,54
13,52
14,62
15,63
16,66
17,68
18,69
19,79
20,69
21,93
22,95
23,99
24,101
25,79
26,69
27,111
28,66
29,46
30,116
31,118
32,120
33,123
34,128
35,131
36,99
37,79
38,44
39,148
40,131
41,116
42,168
43,171
44,148
45,131
46,62
47,5
48,128
49,54
50,168
51,204
52,223
53,28
54,204
55,241
56,254
57,258
58,260
59,261
60,6
61,44
62,223
63,28
64,93
65,302
66,302
67,128
68,68
69,118
70,261
71,376
72,168
73,6
74,99
75,376
76,5
77,123
78,5
79,44
80,241
81,68
82,116
83,63
84,25
85,499
86,118
87,62
88,549
89,567
90,570
91,223
92,69
93,44
94,499
95,254
96,79
97,99
98,95
99,204
100,673
101,258
102,499
103,171
104,54
105,376
106,302
107,706
108,171
109,93
110,723
111,46
112,723
113,116
114,223
115,69
116,570
117,123
118,6
119,754
120,261
121,241
122,171
123,570
124,69
125,771
126,79
127,775
128,776
129,376
130,39
131,783
132,570
133,123
134,44
135,116
136,499
137,52
138,834
139,168
140,62
141,887
142,123
143,5
144,376
145,5
146,148
147,834
148,12
149,79
150,69
151,168
152,93
153,7
154,99
155,168
156,99
157,54
158,7
159,1052
160,93
161,776
162,5
163,258
164,123
165,7
166,499
167,123
168,168
169,1052
170,1052
171,79
172,52
173,62
174,39
175,95
176,1155
177,44
178,171
179,68
180,6
181,1208
182,68
183,7
184,376
185,28
186,79
187,261
188,376
189,54
190,101
191,93
192,95
193,66
194,116
195,52
196,499
197,46
198,706
199,260
200,123
201,570
202,52
203,101
204,116
205,93
206,93
207,723
208,499
209,118
210,1208
211,834
212,171
213,1405
214,376
215,1407
216,95
217,258
218,1208
219,1052
220,28
221,776
222,69
223,28
224,7
225,887
226,116
227,39
228,46
229,549
230,95
231,95
232,6
233,5
234,1208
235,52
236,118
237,834
238,44
239,204
240,39
241,887
242,570
243,63
244,116
245,1591
246,1592
247,46
248,241
249,6
250,168
251,776
252,171
253,95
254,567
255,131
256,1155
257,376
258,28
259,99
260,118
261,776
262,46
263,5
264,1661
265,258
266,241
267,39
268,69
269,28
270,1715
271,99
272,123
273,68
274,46
275,204
276,63
277,63
278,63
279,63
280,63
281,63
282,116
283,499
284,567
285,7
286,754
287,123
288,261
289,754
290,723
291,95
292,12
293,1815
294,93
295,118
296,549
297,549
298,570
299,254
300,549
301,6
302,25
303,570
304,62
305,69
306,95
307,570
308,44
309,99
310,0
311,499
312,567
313,128
314,1155
315,39
316,1405
317,1592
318,63
319,25
320,52
321,62
322,46
323,25
324,887
325,2047
326,118
327,2047
328,148
329,2047
330,887
331,7
332,168
333,93
334,549
335,168
336,128
337,1661
338,783
339,1591
340,131
341,39
342,1208
343,499
344,6
345,95
346,1661
347,302
348,79
349,1052
350,62
351,128
352,2047
353,99
354,376
355,723
356,254
357,168
358,62
359,6
360,258
361,723
362,5
363,6
364,6
365,254
366,1592
367,168
368,302
369,93
370,706
